metric,value
sched,rvt
workload,skewed
n_agents,10
total_calls,5000
seed,999
reconcile,true
jain_index,0.999747
p50_latency_s,1.366865
p99_latency_s,8.660049
starvation_events,162
max_gap_ratio,0.666600
thm1_satisfied,true
