metric,value
sched,fcfs
workload,skewed
n_agents,10
total_calls,5000
seed,42
reconcile,true
jain_index,0.161751
p50_latency_s,1.399685
p99_latency_s,8.882086
starvation_events,0
max_gap_ratio,242.384400
thm1_satisfied,false
