metric,value
sched,rr
workload,skewed
n_agents,50
total_calls,5000
seed,42
reconcile,true
jain_index,0.120883
p50_latency_s,1.368498
p99_latency_s,8.901826
starvation_events,1700
max_gap_ratio,48.518900
thm1_satisfied,false
