metric,value
sched,rvt
workload,skewed
n_agents,10
total_calls,5000
seed,7777
reconcile,true
jain_index,0.999737
p50_latency_s,1.407507
p99_latency_s,9.324425
starvation_events,162
max_gap_ratio,0.666600
thm1_satisfied,true
