metric,value
sched,rvt
workload,skewed
n_agents,10
total_calls,5000
seed,123
reconcile,true
jain_index,0.999776
p50_latency_s,1.372228
p99_latency_s,9.063168
starvation_events,163
max_gap_ratio,0.666600
thm1_satisfied,true
